GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,tn.backend.isimm.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
Backend,tn.backend.isimm.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Backend,tn.backend.isimm.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Backend,tn.backend.isimm.security,SecurityUtils,16,109,6,12,4,20,6,15,0,12
Backend,tn.backend.isimm.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Backend,tn.backend.isimm.security,DomainUserDetailsService,101,0,4,0,24,0,9,0,7,0
Backend,tn.backend.isimm.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Backend,tn.backend.isimm.service.mapper,UserMapper,100,114,12,6,27,33,12,11,6,8
Backend,tn.backend.isimm.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,User_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Backend,tn.backend.isimm.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,Authority,19,47,2,8,6,14,5,11,4,7
Backend,tn.backend.isimm.domain,User,70,83,8,0,17,33,14,20,10,20
Backend,tn.backend.isimm.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Backend,tn.backend.isimm.config,LiquibaseConfiguration,111,0,4,0,28,0,4,0,2,0
Backend,tn.backend.isimm.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Backend,tn.backend.isimm.config,DatabaseConfiguration,50,0,4,0,14,0,5,0,3,0
Backend,tn.backend.isimm.config,ApplicationProperties.Liquibase,10,0,0,0,4,0,3,0,3,0
Backend,tn.backend.isimm.config,StaticResourcesWebConfiguration,0,86,0,0,0,13,0,7,0,7
Backend,tn.backend.isimm.config,ApplicationProperties,11,0,0,0,3,0,2,0,2,0
Backend,tn.backend.isimm.config,SecurityConfiguration,404,0,2,0,48,0,15,0,14,0
Backend,tn.backend.isimm.config,CacheConfiguration,72,0,2,0,23,0,8,0,7,0
Backend,tn.backend.isimm.config,SecurityJwtConfiguration,109,0,10,0,26,0,11,0,6,0
Backend,tn.backend.isimm.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Backend,tn.backend.isimm.config,LocaleConfiguration,20,0,0,0,6,0,3,0,3,0
